Name,Birth,Death,Nationality
Robert Abdesselam,1920,2006,France
José Acasuso,1982,–,Argentina
András Ádám-Stolpa,1921,2010,Hungary
Andre Agassi,1970,–,United States
Ronald Agénor,1964,–,Haiti
Juan Aguilera,1962,–,Spain
Karim Alami,1973,–,Morocco
Carlos Alcaraz,2003,–,Spain
Fred Alexander,1880,1969,United States
John Alexander,1951,–,Australia
Wilmer Allison,1904,1977,United States
Nicolás Almagro,1985,–,Spain
Manuel Alonso,1895,1984,Spain
Felicisimo Ampon,1920,1997,Philippines
Vijay Amritraj,1953,–,India
Mario Ančić,1984,–,Croatia
James Anderson,1894,1973,Australia
Kevin Anderson,1986,–,South Africa
Mal Anderson,1935,–,Australia
Igor Andreev,1983,–,Russia
John Andrews,1952,–,United States
Matt Anger,1963,–,United States
Paul Annacone,1963,–,United States
Hicham Arazi,1973,–,Morocco
Jimmy Arias,1964,–,United States
Jordi Arrese,1964,–,Spain
József Asbóth,1917,1986,Hungary
Arthur Ashe,1943,1993,United States
Félix Auger-Aliassime,2000,–,Canada
Bunny Austin,1906,2000,Great Britain
Luis Ayala,1932,–,Chile
Wilfred Baddeley,1872,1929,Great Britain
Marcos Baghdatis,1985,–,Cyprus
Corrado Barazzutti,1953,–,Italy
Herbert Roper Barrett,1873,1943,Great Britain
Pierre Barthès,1941,–,France
Nikoloz Basilashvili,1992,–,Georgia
Roberto Bautista Agut,1988,–,Spain
Alfred Beamish,1879,1944,Great Britain
Boris Becker,1967,–,West Germany/Germany
Karl Behr,1885,1949,United States
Mike Belkin,1945,–,Canada
Thomaz Bellucci,1987,–,Brazil
Eduardo Bengoechea,1959,–,Argentina
Julien Benneteau,1981,–,France
Alberto Berasategui,1973,–,Spain
Tomáš Berdych,1985,–,Czech Republic
Lennart Bergelin,1925,2008,Sweden
Jay Berger,1966,–,United States
Christian Bergström,1967,–,Sweden
Marcel Bernard,1914,1994,France
Matteo Berrettini,1996,–,Italy
Paolo Bertolucci,1951,–,Italy
Henry Billington,1909,1980,Great Britain
Jonas Björkman,1972,–,Sweden
Byron Black,1969,–,Zimbabwe
James Blake,1979,–,United States
Galo Blanco,1976,–,Spain
Arnaud Boetsch,1969,–,France
Björn Borg,1956,–,Sweden
Jean Borotra,1898,1994,France
Jeff Borowiak,1949,–,United States
William Bowrey,1943,–,Australia
Christian Boussus,1908,2003,France
Jacques Brichant,1930,2011,Belgium
Godfrey Brinley,1864,1939,United States
John Bromwich,1918,1999,Australia
Norman Brookes,1877,1968,Australia
Geoff Brown,1924,2001,Great Britain
Tom Brown,1922,2011,United States
Sergi Bruguera,1971,–,Spain
Alexander Bublik,1997,–,Kazakhstan
Butch Buchholz,1940,–,United States
Don Budge,1915,2000,United States
Darren Cahill,1965,–,Australia
Oliver Campbell,1871,1953,United States
Agustín Calleri,1976,–,Argentina
Omar Camporese,1968,–,Italy
Francesco Cancellotti,1963,–,Italy
Guillermo Cañas,1977,–,Argentina
Cristiano Caratti,1970,–,Italy
Kent Carlsson,1968,–,Sweden
Pablo Carreño Busta,1991,–,Spain
Ross Case,1951,–,Australia
Pat Cash,1965,–,Australia
Marco Cecchinato,1992,–,Italy
František Cejnar,1917,1965,Czechoslovakia
Francisco Cerundolo,1998,–,Argentina
Malcolm Chace,1875,1955,United States
Thierry Champion,1966,–,France
Michael Chang,1972,–,United States
Jérémy Chardy,1987,–,France
Juan Ignacio Chela,1979,–,Argentina
Andrei Cherkasov,1970,–,Soviet Union/Russia
Andrei Chesnokov,1966,–,Soviet Union/Russia
Herbert Chipp,1850,1903,Great Britain
Marin Čilić,1988,–,Croatia
Francisco Clavet,1968,–,Spain
Arnaud Clément,1977,–,France
José Luis Clerc,1958,–,Argentina
William Clothier,1881,1962,United States
Henri Cochet,1901,1987,France
Jimmy Connors,1952,–,United States
Elwood Cooke,1913,2004,United States
Ashley Cooper,1936,2020,Australia
John Cooper,1946,–,Australia
Patricio Cornejo,1944,–,Chile
Guillermo Coria,1982,–,Argentina
Borna Ćorić,1996,–,Croatia
Àlex Corretja,1974,–,Spain
Albert Costa,1975,–,Spain
Carlos Costa,1968,–,Spain
Jim Courier,1970,–,United States
Mark Cox,1943,–,Great Britain
Gottfried von Cramm,1909,1976,/ Germany
Jack Crawford,1908,1991,Australia
Dick Crealy,1944,–,Australia
Gianni Cucelli,1916,1977,Italy
Pablo Cuevas,1986,–,Uruguay
Kevin Curren,1958,–,South Africa/United States
Alejandro Davidovich Fokina,1999,–,Spain
Sven Davidson,1928,2008,Sweden
Dwight Davis,1879,1945,United States
Scott Davis,1962,–,United States
Franco Davín,1970,–,Argentina
Nikolay Davydenko,1981,–,Russia
Max Decugis,1882,1978,France
Juan Martín del Potro,1988,–,Argentina
Alex de Minaur,1999,–,Australia
Phil Dent,1950,–,Australia
Taylor Dent,1981,–,United States
Steve Denton,1956,–,United States
Bernard Destremau,1917,2002,France
Filip Dewulf,1972,–,Belgium
Colin Dibley,1944,–,Australia
